circuitName,location,country,raceId,period,prixHeld,active
Adelaide Street Circuit,Adelaide,Australia,Australian Grand Prix,1985–1995,11,1985
Ain-Diab Circuit,Casablanca,Morocco,Moroccan Grand Prix,1958,1,1958
Aintree Motor Racing Circuit,Aintree,United Kingdom,British Grand Prix,"1955, 1957, 1959, 1961–1962",5,1955
Albert Park Grand Prix Circuit,Melbourne,Australia,Australian Grand Prix,"1996–2019, 2022–2023",26,1996
Algarve International Circuit,Portimão,Portugal,Portuguese Grand Prix,2020–2021,2,2020
Autódromo do Estoril,Estoril,Portugal,Portuguese Grand Prix,1984–1996,13,1984
Autodromo Enzo e Dino Ferrari,Imola,Italy,"Italian Grand Prix,San Marino Grand Prix,Emilia Romagna Grand Prix","1980–2006, 2020–2022",30,1980
Autódromo Hermanos Rodríguez,Mexico City,Mexico,"Mexican Grand Prix,Mexico City Grand Prix","1963–1970, 1986–1992, 2015–2019, 2021–2022",22,1963
Autódromo Internacional do Rio de Janeiro,Rio de Janeiro,Brazil,Brazilian Grand Prix,"1978, 1981–1989",10,1978
Autodromo Internazionale del Mugello,Scarperia e San Piero,Italy,Tuscan Grand Prix,2020,1,2020
Autódromo José Carlos Pace,São Paulo,Brazil,"Brazilian Grand Prix,São Paulo Grand Prix","1973–1977, 1979–1980, 1990–2019, 2021–2022",39,1973
Autódromo Juan y Oscar Gálvez,Buenos Aires,Argentina,Argentine Grand Prix,"1953–1958, 1960, 1972–1975, 1977–1981, 1995–1998",20,1953
Autodromo Nazionale di Monza,Monza,Italy,Italian Grand Prix,"1950–1979, 1981–2022",72,1950
AVUS,Berlin,Germany,German Grand Prix,1959,1,1959
Bahrain International Circuit,Sakhir,Bahrain,"Bahrain Grand Prix,Sakhir Grand Prix","2004–2010, 2012–2023[a]",20,2004
Baku City Circuit,Baku,Azerbaijan,"European Grand Prix,Azerbaijan Grand Prix","2016–2019, 2021–2022",6,2016
Brands Hatch Circuit,West Kingsdown,United Kingdom,"British Grand Prix,European Grand Prix","1964, 1966, 1968, 1970, 1972, 1974, 1976, 1978, 1980, 1982–1986",14,1964
Buddh International Circuit,Greater Noida,India,Indian Grand Prix,2011–2013,3,2011
Bugatti Au Mans,Le Mans,France,French Grand Prix,1967,1,1967
Caesars Palace Grand Prix Circuit,Paradise,United States,Caesars Palace Grand Prix,1981–1982,2,1981
Charade Circuit,Saint-Genès-Champanelle,France,French Grand Prix,"1965, 1969–1970, 1972",4,1965
Circuit Bremgarten,Bern,Switzerland,Swiss Grand Prix,1950–1954,5,1950
Circuit de Barcelona-Catalunya,Montmeló,Spain,Spanish Grand Prix,1991–2022,32,1991
Circuit de Monaco,Monte Carlo,Monaco,Monaco Grand Prix,"1950, 1955–2019, 2021–2022",68,1950
Circuit de Nevers Magny-Cours,Magny-Cours,France,French Grand Prix,1991–2008,18,1991
Circuit de Pedralbes,Barcelona,Spain,Spanish Grand Prix,"1951, 1954",2,1951
Circuit de Reims-Gueux,Gueux,France,French Grand Prix,"1950–1951, 1953–1954, 1956, 1958–1961, 1963, 1966",11,1950
Circuit de Spa-Francorchamps,Stavelot,Belgium,Belgian Grand Prix,"1950–1956, 1958, 1960–1968, 1970, 1983, 1985–2002, 2004–2005, 2007–2022",55,1950
Circuit Dijon-Prenois,Prenois,France,"French Grand Prix,Swiss Grand Prix","1974, 1977, 1979, 1981–1982, 1984",6,1974
Circuit Gilles Villeneuve,Montreal,Canada,Canadian Grand Prix,"1978–1986, 1988–2008, 2010–2019, 2022",41,1978
Circuit Mont-Tremblant,Mont-Tremblant,Canada,Canadian Grand Prix,"1968, 1970",2,1968
Circuit of the Americas,Austin,United States,United States Grand Prix,"2012–2019, 2021–2022",10,2012
Circuit Paul Ricard,Le Castellet,France,French Grand Prix,"1971, 1973, 1975–1976, 1978, 1980, 1982–1983, 1985–1990, 2018–2019, 2021–2022",18,1971
Circuit Park Zandvoort,Zandvoort,Netherlands,Dutch Grand Prix,"1952–1953, 1955, 1958–1971, 1973–1985, 2021–2022",32,1952
Circuit Zolder,Heusden-Zolder,Belgium,Belgian Grand Prix,"1973, 1975–1982, 1984",10,1973
Circuito da Boavista,Porto,Portugal,Portuguese Grand Prix,"1958, 1960",2,1958
Circuito de Monsanto,Lisbon,Portugal,Portuguese Grand Prix,1959,1,1959
Circuito Permanente de Jerez,Jerez de la Frontera,Spain,"Spanish Grand Prix,European Grand Prix","1986–1990, 1994, 1997",7,1986
Circuito Permanente del Jarama,San Sebastián de los Reyes,Spain,Spanish Grand Prix,"1968, 1970, 1972, 1974, 1976–1979, 1981",9,1968
Complexe Européen de Nivelles-Baulers,Nivelles,Belgium,Belgian Grand Prix,"1972, 1974",2,1972
Dallas Fair Park,Dallas,United States,Dallas Grand Prix,1984,1,1984
Detroit Street Circuit,Detroit,United States,Detroit Grand Prix,1982–1988,7,1982
Donington Park,Castle Donington,United Kingdom,European Grand Prix,1993,1,1993
Fuji Speedway,Oyama,Japan,Japanese Grand Prix,"1976–1977, 2007–2008",4,1976
Hockenheimring,Hockenheim,Germany,German Grand Prix,"1970, 1977–1984, 1986–2006, 2008, 2010, 2012, 2014, 2016, 2018–2019",37,1970
Hungaroring,Mogyoród,Hungary,Hungarian Grand Prix,1986–2022,37,1986
Indianapolis Motor Speedway,Speedway,United States,"Indianapolis 500,[b]United States Grand Prix","1950–1960, 2000–2007",19,1950
Istanbul Park,Istanbul,Turkey,Turkish Grand Prix,"2005–2011, 2020–2021",9,2005
Jeddah Corniche Circuit,Jeddah,Saudi Arabia,Saudi Arabian Grand Prix,2021–2023,3,2021
Korean International Circuit,Yeongam,South Korea,Korean Grand Prix,2010–2013,4,2010
Kyalami Grand Prix Circuit,Midrand,South Africa,South African Grand Prix,"1967–1980, 1982–1985, 1992–1993",20,1967
Las Vegas Strip Circuit,Paradise,United States,Las Vegas Grand Prix,2023[11],0,2023
Long Beach Street Circuit,Long Beach,United States,United States Grand Prix West,1976–1983,8,1976
Losail International Circuit,Lusail,Qatar,Qatar Grand Prix,2021,1,2021
Marina Bay Street Circuit,Marina Bay,Singapore,Singapore Grand Prix,"2008–2019, 2022",13,2008
Miami International Autodrome,Miami Gardens,United States,Miami Grand Prix,2022,1,2022
Montjuïc circuit,Barcelona,Spain,Spanish Grand Prix,"1969, 1971, 1973, 1975",4,1969
Mosport International Raceway,Bowmanville,Canada,Canadian Grand Prix,"1967, 1969, 1971–1974, 1976–1977",8,1967
Nürburgring,Nürburg,Germany,"German Grand Prix,European Grand Prix,Luxembourg Grand Prix,Eifel Grand Prix","1951–1954, 1956–1958, 1961–1969, 1971–1976, 1984–1985, 1995–2007, 2009, 2011, 2013, 2020",41,1951
Pescara Circuit,Pescara,Italy,Pescara Grand Prix,1957,1,1957
Phoenix Street Circuit,Phoenix,United States,United States Grand Prix,1989–1991,3,1989
Prince George Circuit,East London,South Africa,South African Grand Prix,"1962–1963, 1965",3,1962
Red Bull Ring,Spielberg,Austria,"Austrian Grand Prix,Styrian Grand Prix","1970–1987, 1997–2003, 2014–2022[c]",36,1970
Riverside International Raceway,Moreno Valley,United States,United States Grand Prix,1960,1,1960
Rouen-Les-Essarts,Orival,France,French Grand Prix,"1952, 1957, 1962, 1964, 1968",5,1952
Scandinavian Raceway,Anderstorp,Sweden,Swedish Grand Prix,1973–1978,6,1973
Sebring Raceway,Sebring,United States,United States Grand Prix,1959,1,1959
Sepang International Circuit,Sepang,Malaysia,Malaysian Grand Prix,1999–2017,19,1999
Shanghai International Circuit,Shanghai,China,Chinese Grand Prix,2004–2019,16,2004
Silverstone Circuit,Silverstone,United Kingdom,"British Grand Prix,70th Anniversary Grand Prix","1950–1954, 1956, 1958, 1960, 1963, 1965, 1967, 1969, 1971, 1973, 1975, 1977, 1979, 1981, 1983, 1985, 1987–2022[a]",57,1950
Sochi Autodrom,Sochi,Russia,Russian Grand Prix,2014–2021,8,2014
Suzuka Circuit,Suzuka,Japan,Japanese Grand Prix,"1987–2006, 2009–2019, 2022",32,1987
TI Circuit Aida,Mimasaka,Japan,Pacific Grand Prix,1994–1995,2,1994
Valencia Street Circuit,Valencia,Spain,European Grand Prix,2008–2012,5,2008
Watkins Glen International,Watkins Glen,United States,United States Grand Prix,1961–1980,20,1961
Yas Marina Circuit,Abu Dhabi,United Arab Emirates,Abu Dhabi Grand Prix,2009–2022,14,2009
Zeltweg Airfield,Zeltweg,Austria,Austrian Grand Prix,1964,1,1964
