season,constructorId,name,nationality,url
2010,ferrari,Ferrari,Italian,http://en.wikipedia.org/wiki/Scuderia_Ferrari
2010,force_india,Force India,Indian,http://en.wikipedia.org/wiki/Racing_Point_Force_India
2010,hrt,HRT,Spanish,http://en.wikipedia.org/wiki/Hispania_Racing
2010,lotus_racing,Lotus,Malaysian,http://en.wikipedia.org/wiki/Lotus_Racing
2010,mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren
2010,mercedes,Mercedes,German,http://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One
2010,red_bull,Red Bull,Austrian,http://en.wikipedia.org/wiki/Red_Bull_Racing
2010,renault,Renault,French,http://en.wikipedia.org/wiki/Renault_in_Formula_One
2010,sauber,Sauber,Swiss,http://en.wikipedia.org/wiki/Sauber
2010,toro_rosso,Toro Rosso,Italian,http://en.wikipedia.org/wiki/Scuderia_Toro_Rosso
2010,virgin,Virgin,British,http://en.wikipedia.org/wiki/Virgin_Racing
2010,williams,Williams,British,http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering
2011,ferrari,Ferrari,Italian,http://en.wikipedia.org/wiki/Scuderia_Ferrari
2011,force_india,Force India,Indian,http://en.wikipedia.org/wiki/Racing_Point_Force_India
2011,hrt,HRT,Spanish,http://en.wikipedia.org/wiki/Hispania_Racing
2011,lotus_racing,Lotus,Malaysian,http://en.wikipedia.org/wiki/Lotus_Racing
2011,mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren
2011,mercedes,Mercedes,German,http://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One
2011,red_bull,Red Bull,Austrian,http://en.wikipedia.org/wiki/Red_Bull_Racing
2011,renault,Renault,French,http://en.wikipedia.org/wiki/Renault_in_Formula_One
2011,sauber,Sauber,Swiss,http://en.wikipedia.org/wiki/Sauber
2011,toro_rosso,Toro Rosso,Italian,http://en.wikipedia.org/wiki/Scuderia_Toro_Rosso
2011,virgin,Virgin,British,http://en.wikipedia.org/wiki/Virgin_Racing
2011,williams,Williams,British,http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering
2012,caterham,Caterham,Malaysian,http://en.wikipedia.org/wiki/Caterham_F1
2012,ferrari,Ferrari,Italian,http://en.wikipedia.org/wiki/Scuderia_Ferrari
2012,force_india,Force India,Indian,http://en.wikipedia.org/wiki/Racing_Point_Force_India
2012,hrt,HRT,Spanish,http://en.wikipedia.org/wiki/Hispania_Racing
2012,lotus_f1,Lotus F1,British,http://en.wikipedia.org/wiki/Lotus_F1
2012,marussia,Marussia,Russian,http://en.wikipedia.org/wiki/Marussia_F1
2012,mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren
2012,mercedes,Mercedes,German,http://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One
2012,red_bull,Red Bull,Austrian,http://en.wikipedia.org/wiki/Red_Bull_Racing
2012,sauber,Sauber,Swiss,http://en.wikipedia.org/wiki/Sauber
2012,toro_rosso,Toro Rosso,Italian,http://en.wikipedia.org/wiki/Scuderia_Toro_Rosso
2012,williams,Williams,British,http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering
2013,caterham,Caterham,Malaysian,http://en.wikipedia.org/wiki/Caterham_F1
2013,ferrari,Ferrari,Italian,http://en.wikipedia.org/wiki/Scuderia_Ferrari
2013,force_india,Force India,Indian,http://en.wikipedia.org/wiki/Racing_Point_Force_India
2013,lotus_f1,Lotus F1,British,http://en.wikipedia.org/wiki/Lotus_F1
2013,marussia,Marussia,Russian,http://en.wikipedia.org/wiki/Marussia_F1
2013,mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren
2013,mercedes,Mercedes,German,http://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One
2013,red_bull,Red Bull,Austrian,http://en.wikipedia.org/wiki/Red_Bull_Racing
2013,sauber,Sauber,Swiss,http://en.wikipedia.org/wiki/Sauber
2013,toro_rosso,Toro Rosso,Italian,http://en.wikipedia.org/wiki/Scuderia_Toro_Rosso
2013,williams,Williams,British,http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering
2014,caterham,Caterham,Malaysian,http://en.wikipedia.org/wiki/Caterham_F1
2014,ferrari,Ferrari,Italian,http://en.wikipedia.org/wiki/Scuderia_Ferrari
2014,force_india,Force India,Indian,http://en.wikipedia.org/wiki/Racing_Point_Force_India
2014,lotus_f1,Lotus F1,British,http://en.wikipedia.org/wiki/Lotus_F1
2014,marussia,Marussia,Russian,http://en.wikipedia.org/wiki/Marussia_F1
2014,mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren
2014,mercedes,Mercedes,German,http://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One
2014,red_bull,Red Bull,Austrian,http://en.wikipedia.org/wiki/Red_Bull_Racing
2014,sauber,Sauber,Swiss,http://en.wikipedia.org/wiki/Sauber
2014,toro_rosso,Toro Rosso,Italian,http://en.wikipedia.org/wiki/Scuderia_Toro_Rosso
2014,williams,Williams,British,http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering
2015,ferrari,Ferrari,Italian,http://en.wikipedia.org/wiki/Scuderia_Ferrari
2015,force_india,Force India,Indian,http://en.wikipedia.org/wiki/Racing_Point_Force_India
2015,lotus_f1,Lotus F1,British,http://en.wikipedia.org/wiki/Lotus_F1
2015,manor,Manor Marussia,British,http://en.wikipedia.org/wiki/Manor_Motorsport
2015,mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren
2015,mercedes,Mercedes,German,http://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One
2015,red_bull,Red Bull,Austrian,http://en.wikipedia.org/wiki/Red_Bull_Racing
2015,sauber,Sauber,Swiss,http://en.wikipedia.org/wiki/Sauber
2015,toro_rosso,Toro Rosso,Italian,http://en.wikipedia.org/wiki/Scuderia_Toro_Rosso
2015,williams,Williams,British,http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering
2016,ferrari,Ferrari,Italian,http://en.wikipedia.org/wiki/Scuderia_Ferrari
2016,force_india,Force India,Indian,http://en.wikipedia.org/wiki/Racing_Point_Force_India
2016,haas,Haas F1 Team,American,http://en.wikipedia.org/wiki/Haas_F1_Team
2016,manor,Manor Marussia,British,http://en.wikipedia.org/wiki/Manor_Motorsport
2016,mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren
2016,mercedes,Mercedes,German,http://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One
2016,red_bull,Red Bull,Austrian,http://en.wikipedia.org/wiki/Red_Bull_Racing
2016,renault,Renault,French,http://en.wikipedia.org/wiki/Renault_in_Formula_One
2016,sauber,Sauber,Swiss,http://en.wikipedia.org/wiki/Sauber
2016,toro_rosso,Toro Rosso,Italian,http://en.wikipedia.org/wiki/Scuderia_Toro_Rosso
2016,williams,Williams,British,http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering
2017,ferrari,Ferrari,Italian,http://en.wikipedia.org/wiki/Scuderia_Ferrari
2017,force_india,Force India,Indian,http://en.wikipedia.org/wiki/Racing_Point_Force_India
2017,haas,Haas F1 Team,American,http://en.wikipedia.org/wiki/Haas_F1_Team
2017,mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren
2017,mercedes,Mercedes,German,http://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One
2017,red_bull,Red Bull,Austrian,http://en.wikipedia.org/wiki/Red_Bull_Racing
2017,renault,Renault,French,http://en.wikipedia.org/wiki/Renault_in_Formula_One
2017,sauber,Sauber,Swiss,http://en.wikipedia.org/wiki/Sauber
2017,toro_rosso,Toro Rosso,Italian,http://en.wikipedia.org/wiki/Scuderia_Toro_Rosso
2017,williams,Williams,British,http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering
2018,ferrari,Ferrari,Italian,http://en.wikipedia.org/wiki/Scuderia_Ferrari
2018,force_india,Force India,Indian,http://en.wikipedia.org/wiki/Racing_Point_Force_India
2018,haas,Haas F1 Team,American,http://en.wikipedia.org/wiki/Haas_F1_Team
2018,mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren
2018,mercedes,Mercedes,German,http://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One
2018,red_bull,Red Bull,Austrian,http://en.wikipedia.org/wiki/Red_Bull_Racing
2018,renault,Renault,French,http://en.wikipedia.org/wiki/Renault_in_Formula_One
2018,sauber,Sauber,Swiss,http://en.wikipedia.org/wiki/Sauber
2018,toro_rosso,Toro Rosso,Italian,http://en.wikipedia.org/wiki/Scuderia_Toro_Rosso
2018,williams,Williams,British,http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering
2019,alfa,Alfa Romeo,Swiss,http://en.wikipedia.org/wiki/Alfa_Romeo_in_Formula_One
2019,ferrari,Ferrari,Italian,http://en.wikipedia.org/wiki/Scuderia_Ferrari
2019,haas,Haas F1 Team,American,http://en.wikipedia.org/wiki/Haas_F1_Team
2019,mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren
2019,mercedes,Mercedes,German,http://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One
2019,racing_point,Racing Point,British,http://en.wikipedia.org/wiki/Racing_Point_F1_Team
2019,red_bull,Red Bull,Austrian,http://en.wikipedia.org/wiki/Red_Bull_Racing
2019,renault,Renault,French,http://en.wikipedia.org/wiki/Renault_in_Formula_One
2019,toro_rosso,Toro Rosso,Italian,http://en.wikipedia.org/wiki/Scuderia_Toro_Rosso
2019,williams,Williams,British,http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering
2020,alfa,Alfa Romeo,Swiss,http://en.wikipedia.org/wiki/Alfa_Romeo_in_Formula_One
2020,alphatauri,AlphaTauri,Italian,http://en.wikipedia.org/wiki/Scuderia_AlphaTauri
2020,ferrari,Ferrari,Italian,http://en.wikipedia.org/wiki/Scuderia_Ferrari
2020,haas,Haas F1 Team,American,http://en.wikipedia.org/wiki/Haas_F1_Team
2020,mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren
2020,mercedes,Mercedes,German,http://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One
2020,racing_point,Racing Point,British,http://en.wikipedia.org/wiki/Racing_Point_F1_Team
2020,red_bull,Red Bull,Austrian,http://en.wikipedia.org/wiki/Red_Bull_Racing
2020,renault,Renault,French,http://en.wikipedia.org/wiki/Renault_in_Formula_One
2020,williams,Williams,British,http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering
2021,alfa,Alfa Romeo,Swiss,http://en.wikipedia.org/wiki/Alfa_Romeo_in_Formula_One
2021,alphatauri,AlphaTauri,Italian,http://en.wikipedia.org/wiki/Scuderia_AlphaTauri
2021,alpine,Alpine F1 Team,French,http://en.wikipedia.org/wiki/Alpine_F1_Team
2021,aston_martin,Aston Martin,British,http://en.wikipedia.org/wiki/Aston_Martin_in_Formula_One
2021,ferrari,Ferrari,Italian,http://en.wikipedia.org/wiki/Scuderia_Ferrari
2021,haas,Haas F1 Team,American,http://en.wikipedia.org/wiki/Haas_F1_Team
2021,mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren
2021,mercedes,Mercedes,German,http://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One
2021,red_bull,Red Bull,Austrian,http://en.wikipedia.org/wiki/Red_Bull_Racing
2021,williams,Williams,British,http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering
2022,alfa,Alfa Romeo,Swiss,http://en.wikipedia.org/wiki/Alfa_Romeo_in_Formula_One
2022,alphatauri,AlphaTauri,Italian,http://en.wikipedia.org/wiki/Scuderia_AlphaTauri
2022,alpine,Alpine F1 Team,French,http://en.wikipedia.org/wiki/Alpine_F1_Team
2022,aston_martin,Aston Martin,British,http://en.wikipedia.org/wiki/Aston_Martin_in_Formula_One
2022,ferrari,Ferrari,Italian,http://en.wikipedia.org/wiki/Scuderia_Ferrari
2022,haas,Haas F1 Team,American,http://en.wikipedia.org/wiki/Haas_F1_Team
2022,mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren
2022,mercedes,Mercedes,German,http://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One
2022,red_bull,Red Bull,Austrian,http://en.wikipedia.org/wiki/Red_Bull_Racing
2022,williams,Williams,British,http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering
